sensor_id,timestamp,temperature,vibration
TURBINE-2,1771005704,691.25,23.25
TURBINE-4,1771005705,758.69,23.12
TURBINE-3,1771005705,759.67,22.19
TURBINE-3,1771005706,1123.22,59.16
TURBINE-2,1771005706,750.03,18.9
TURBINE-4,1771005707,708.44,16.96
TURBINE-1,1771005707,780.99,25.93
TURBINE-5,1771005708,781.35,27.26
TURBINE-5,1771005709,799.92,10.31
TURBINE-2,1771005709,603.81,11.77
TURBINE-4,1771005710,654.22,25.54
TURBINE-2,1771005710,842.03,15.12
TURBINE-5,1771005711,994.15,78.64
TURBINE-2,1771005711,1160.78,61.66
TURBINE-4,1771005712,701.12,19.39
TURBINE-4,1771005712,795.51,19.51
TURBINE-4,1771005713,1111.71,58.83
TURBINE-3,1771005713,782.6,20.82
TURBINE-5,1771005714,622.5,26.31
TURBINE-2,1771005714,722.08,19.42
TURBINE-4,1771005715,645.65,13.88
TURBINE-2,1771005715,1132.5,61.28
TURBINE-4,1771005716,768.64,12.97
TURBINE-2,1771005716,818.26,11.32
TURBINE-1,1771005717,834.8,28.33
TURBINE-4,1771005717,613.3,18.75
TURBINE-5,1771005718,827.48,10.66
TURBINE-3,1771005718,729.72,16.19
TURBINE-3,1771005719,803.33,22.47
TURBINE-4,1771005719,1027.93,52.47
TURBINE-1,1771005720,729.28,23.21
TURBINE-2,1771005720,797.55,11.48
TURBINE-4,1771005721,745.81,19.49
TURBINE-4,1771005721,1196.24,62.02
TURBINE-5,1771005722,761.94,28.34
TURBINE-4,1771005722,719.88,20.52
TURBINE-3,1771005723,796.97,22.34
TURBINE-1,1771005723,779.78,13.73
TURBINE-3,1771005724,609.67,23.26
TURBINE-5,1771005724,769.18,21.1
TURBINE-2,1771005725,649.76,23.48
TURBINE-1,1771005725,757.32,17.88
TURBINE-5,1771005726,765.66,11.22
TURBINE-1,1771005726,704.98,14.59
TURBINE-5,1771005727,692.41,10.32
TURBINE-4,1771005727,728.24,23.85
TURBINE-1,1771005728,610.32,15.77
TURBINE-2,1771005729,618.35,21.4
TURBINE-3,1771005729,832.89,29.49
TURBINE-5,1771005730,655.8,14.51
TURBINE-4,1771005730,700.87,12.17
TURBINE-2,1771005731,804.61,13.34
TURBINE-5,1771005731,678.63,23.03
TURBINE-5,1771005732,754.61,16.06
TURBINE-4,1771005732,689.5,18.79
TURBINE-5,1771005733,793.21,29.24
TURBINE-2,1771005733,782.6,21.66
TURBINE-4,1771005734,656.73,27.94
TURBINE-5,1771005734,738.07,22.81
TURBINE-2,1771005735,615.52,16.43
TURBINE-4,1771005735,982.83,74.81
TURBINE-4,1771005736,738.76,26.11
TURBINE-1,1771005736,617.3,17.49
TURBINE-3,1771005737,775.4,25.05
TURBINE-4,1771005737,643.04,15.81
TURBINE-5,1771005738,635.31,11.58
TURBINE-3,1771005738,766.82,18.52
TURBINE-1,1771005739,628.51,29.9
TURBINE-1,1771005739,667.87,13.72
TURBINE-3,1771005740,842.28,24.78
TURBINE-1,1771005740,774.22,17.45
TURBINE-3,1771005741,619.41,18.38
TURBINE-3,1771005741,834.75,25.52
TURBINE-5,1771005742,783.1,21.52
TURBINE-2,1771005742,775.16,15.53
TURBINE-5,1771005743,1010.81,71.92
TURBINE-3,1771005743,754.54,11.3
TURBINE-4,1771005744,758.01,25.9
TURBINE-2,1771005744,843.65,19.92
TURBINE-5,1771005745,645.17,18.18
TURBINE-2,1771005745,794.66,20.87
TURBINE-2,1771005746,606.41,15.09
TURBINE-5,1771005746,729.17,21.79
TURBINE-5,1771005747,838.8,26.34
TURBINE-5,1771005747,799.17,28.78
TURBINE-2,1771005748,659.84,25.8
TURBINE-2,1771005748,835.35,19.56
TURBINE-1,1771005749,997.38,72.96
TURBINE-4,1771005750,748.66,23.91
TURBINE-4,1771005750,761.26,24.33
TURBINE-2,1771005751,1137.05,60.19
TURBINE-4,1771005751,822.16,14.88
TURBINE-5,1771005752,623.57,28.92
TURBINE-1,1771005752,629.9,19.76
TURBINE-4,1771005753,1011.49,73.64
TURBINE-3,1771005753,743.72,24.68
TURBINE-1,1771005754,786.67,26.85
TURBINE-3,1771005754,690.6,13.49
TURBINE-5,1771005755,621.41,23.4
TURBINE-1,1771005755,612.08,11.43
TURBINE-3,1771005756,722.95,12.65
TURBINE-4,1771005756,723.56,23.85
TURBINE-1,1771005757,650.11,24.04
TURBINE-1,1771005757,744.41,13.34
TURBINE-4,1771005758,820.55,10.42
TURBINE-3,1771005758,672.62,20.22
TURBINE-4,1771005759,825.74,26.28
TURBINE-4,1771005759,772.48,13.31
TURBINE-4,1771005760,652.47,24.43
TURBINE-4,1771005760,957.43,62.35
TURBINE-4,1771005761,722.19,21.93
TURBINE-5,1771005761,634.82,26.53
TURBINE-2,1771005762,810.33,11.99
TURBINE-4,1771005762,638.34,20.25
TURBINE-4,1771005763,615.1,29.43
TURBINE-4,1771005763,623.44,14.28
TURBINE-4,1771005764,721.99,26.0
TURBINE-3,1771005764,727.41,10.35
TURBINE-3,1771005765,798.37,28.12
TURBINE-1,1771005765,748.19,26.95
TURBINE-5,1771005766,824.63,17.91
TURBINE-5,1771005766,738.61,11.93
